time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/05/16:32:58.265851,0,77578,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.5,0.0,4689313.0,327792.59375,0.0,19,T
2023/02/05/16:32:59.265989,0,77579,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.5,0.0,4689313.0,327792.59375,0.0,19,T
2023/02/05/16:33:00.265118,0,77580,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.5,0.0,4689313.0,327792.59375,0.0,19,T
2023/02/05/16:33:01.267433,0,77581,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.5,0.0,4689313.0,327792.59375,0.0,19,T
2023/02/05/16:33:02.264367,0,77582,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.5,0.0,4689313.0,327792.59375,0.0,19,T
2023/02/05/16:33:03.264268,0,77583,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.5,0.0,4689313.0,327792.59375,0.0,19,T
2023/02/05/16:33:04.282527,0,77584,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.5,0.0,4689313.0,327792.59375,0.0,19,T
2023/02/05/16:33:05.265844,0,77585,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.5,0.0,4689313.0,327792.75,0.0,19,T
2023/02/05/16:33:06.265249,0,77586,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.5,0.0,4689313.0,327792.75,0.0,19,T
2023/02/05/16:33:07.265268,0,77587,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.5,0.0,4689313.0,327792.75,0.0,19,T
2023/02/05/16:33:08.283159,0,77588,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.5,0.0,4689313.0,327792.75,0.0,19,T
2023/02/05/16:33:09.265687,0,77589,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.5,0.0,4689313.0,327792.75,0.0,19,T
2023/02/05/16:33:10.265774,0,77590,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.5,0.0,4689313.0,327792.75,0.0,19,T
2023/02/05/16:33:11.265551,0,77591,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.5,0.0,4689313.0,327792.75,0.0,19,T
2023/02/05/16:33:12.266172,0,77592,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.5,0.0,4689313.0,327792.75,0.0,19,T
2023/02/05/16:33:13.266372,0,77593,0,GPS1_FRAME,42.3370246887207,-71.09037780761719,1.5,0.0,4689313.0,327792.71875,0.0,19,T
2023/02/05/16:33:14.265640,0,77594,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.5,0.0,4689313.0,327792.75,0.0,19,T
2023/02/05/16:33:15.263382,0,77595,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.399999976158142,0.0,4689313.0,327792.75,0.0,19,T
2023/02/05/16:33:16.264932,0,77596,0,GPS1_FRAME,42.33702850341797,-71.09037780761719,1.399999976158142,0.0,4689313.0,327792.75,0.0,19,T
2023/02/05/16:33:17.265987,0,77597,0,GPS1_FRAME,42.3370246887207,-71.09037780761719,1.2000000476837158,0.0,4689313.0,327792.71875,0.0,19,T
2023/02/05/16:33:18.265466,0,77598,0,GPS1_FRAME,42.3370246887207,-71.09037780761719,1.2000000476837158,0.0,4689313.0,327792.875,0.0,19,T
2023/02/05/16:33:19.266980,0,77599,0,GPS1_FRAME,42.3370246887207,-71.09037780761719,1.2000000476837158,0.0,4689313.0,327792.875,0.0,19,T
2023/02/05/16:33:20.265293,0,77600,0,GPS1_FRAME,42.3370246887207,-71.09037780761719,1.2000000476837158,0.0,4689313.0,327792.875,0.0,19,T
2023/02/05/16:33:21.265885,0,77601,0,GPS1_FRAME,42.3370246887207,-71.09037780761719,1.2000000476837158,0.0,4689313.0,327792.875,0.0,19,T
