time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/05/16:24:31.264070,0,77071,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:32.264001,0,77072,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:33.262798,0,77073,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:34.263348,0,77074,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:35.260540,0,77075,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2999999523162842,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:36.261504,0,77076,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2999999523162842,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:37.260852,0,77077,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2999999523162842,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:38.279353,0,77078,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:39.261956,0,77079,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:40.264252,0,77080,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:41.279298,0,77081,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:42.262366,0,77082,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:43.264446,0,77083,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:44.261832,0,77084,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:45.262795,0,77085,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:46.263356,0,77086,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:47.262561,0,77087,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:48.263847,0,77088,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:49.263763,0,77089,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:50.263264,0,77090,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:51.263324,0,77091,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:52.263414,0,77092,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:53.262140,0,77093,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:24:54.261669,0,77094,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.8125,0.0,19,T
